Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Βρεντέσιον,Καπύη,0.9948716163635254,0.9614182060415094,0.9622632319276984
Καπύη,Βρεντέσιον,0.9948716163635254,0.9622632319276984,0.9614182060415094
Ῥήγιον,Καπύη,0.9927173852920532,0.9563428298993544,0.9622632319276984
Κύμη,Βρεντέσιον,0.9911691546440125,0.9566936682571064,0.9614182060415094
Αἴσιος,Πλακεντία,0.9910053610801697,0.9352606562050906,0.9367603469978679
Πλακεντία,Αἴσιος,0.9910053610801697,0.9367603469978679,0.9352606562050906
Σκύλλαιον,Πλακεντία,0.9902420043945312,0.937567878853191,0.9367603469978679
Κλούσιον,Καπύη,0.989601731300354,0.9542675641450015,0.9622632319276984
Λουπίαι,Πλακεντία,0.9870791435241699,0.9288575215773149,0.9367603469978679
Κορφίνιον,Πλακεντία,0.986492395401001,0.9281415343284607,0.9367603469978679
Ἄντιον,Καπύη,0.9854756593704224,0.9504956982352517,0.9622632319276984
Κασιλῖνον,Πλακεντία,0.9854660630226135,0.9253888861699537,0.9367603469978679
Κύρις,Καπύη,0.9837896227836609,0.9481745551932942,0.9622632319276984
Σούτριον,Σκύλλαιον,0.9823833107948303,0.921401479027488,0.937567878853191
Πύργοι,Κορφίνιον,0.9764897227287292,0.9199129613963041,0.9281415343284607
Κανύσιον,Κύρις,0.9696707725524902,0.9199639125303789,0.9481745551932942
Ἀρικία,Ἄντιον,0.9649183750152588,0.8924945294857025,0.9504956982352517
Σάλερνον,Κανύσιον,0.9632529020309448,0.8866191668943926,0.9199639125303789
Κόρα,Ἀρικία,0.9536121487617493,0.8897191773761403,0.8924945294857025
