Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
fidenae,veii,0.9984556436538696,0.9004635115464529,0.9011471801333957
veii,fidenae,0.9984556436538696,0.9011471801333957,0.9004635115464529
lanuvium,tusculum,0.9973741173744202,0.9059773650434282,0.9066563745339712
tusculum,lanuvium,0.9973741173744202,0.9066563745339712,0.9059773650434282
collatia,lanuvium,0.995127260684967,0.9086000422636668,0.9059773650434282
capua,pompeii,0.9800796508789062,0.9140899711185031,0.9083214071061876
pompeii,capua,0.9800796508789062,0.9083214071061876,0.9140899711185031
cora,capua,0.942957878112793,0.8737805154588487,0.9140899711185031
praeneste,tusculum,0.9254867434501648,0.8820660445425246,0.9066563745339712
cales,capua,0.9197376370429993,0.859857483042611,0.9140899711185031
minturnae,capua,0.907670795917511,0.8582990202638838,0.9140899711185031
firmum,pompeii,0.8917108774185181,0.8223514126406776,0.9083214071061876
fundi,cora,0.8891934752464294,0.8138042522801293,0.8737805154588487
trebula,veii,0.740500271320343,0.7132037878036499,0.9011471801333957
