Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
cures,cora,0.9877450466156006,0.9265793256643342,0.9276460118410064
cora,cures,0.9877450466156006,0.9276460118410064,0.9265793256643342
lanuvium,arpinum,0.9853285551071167,0.9280605999434867,0.9324402111332591
arpinum,lanuvium,0.9853285551071167,0.9324402111332591,0.9280605999434867
tusculum,cures,0.9852501749992371,0.9303487393914199,0.9265793256643342
capua,pompeii,0.985131025314331,0.9271531948229161,0.9289809072889933
pompeii,capua,0.985131025314331,0.9289809072889933,0.9271531948229161
Vico,pompeii,0.9825016260147095,0.9271635355018988,0.9289809072889933
firmum,tusculum,0.9800801277160645,0.9202230950681175,0.9303487393914199
Cumae,arpinum,0.9795530438423157,0.9259337855548393,0.9324402111332591
formiae,arpinum,0.9766309261322021,0.925251931678958,0.9324402111332591
signia,arpinum,0.9727479815483093,0.9234412021753264,0.9324402111332591
misenum,Cumae,0.971750795841217,0.9127858470125896,0.9259337855548393
Corfinium,capua,0.9714913368225098,0.9115004146971354,0.9271531948229161
cales,Cumae,0.9627504944801331,0.9133820170309486,0.9259337855548393
antium,capua,0.9626885056495667,0.9054385932480417,0.9271531948229161
fundi,arpinum,0.9498990178108215,0.8983336410871366,0.9324402111332591
venusia,misenum,0.9464675784111023,0.89033680281988,0.9127858470125896
Caieta,misenum,0.9447634220123291,0.888296819314724,0.9127858470125896
calatia,casilinum,0.9437132477760315,0.7985919306917888,0.8715804117481883
casilinum,calatia,0.9437132477760315,0.8715804117481883,0.7985919306917888
larinum,capua,0.9421581625938416,0.8638332849595605,0.9271531948229161
sulmo,capua,0.9382660388946533,0.8780871658790402,0.9271531948229161
reate,Vico,0.9356840252876282,0.8877264915443048,0.9271635355018988
Varia,tusculum,0.9349726438522339,0.879450607590559,0.9303487393914199
aquinum,formiae,0.9346945285797119,0.8817309824431815,0.925251931678958
tibur,cures,0.9289899468421936,0.8579814099683994,0.9265793256643342
collatia,signia,0.9280970096588135,0.8590387236781236,0.9234412021753264
capena,pompeii,0.9252163767814636,0.8676066660299534,0.9289809072889933
Horta,Caieta,0.9192932844161987,0.8714870999499065,0.888296819314724
canusium,sulmo,0.9146789312362671,0.8507922030076748,0.8780871658790402
alsium,arpinum,0.9102353453636169,0.8563691973686218,0.9324402111332591
praeneste,cora,0.8809967637062073,0.8235328401007304,0.9276460118410064
anagnia,arpinum,0.8650661110877991,0.814911449827799,0.9324402111332591
