Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
lanuvium,Cliternia,1.0,0.8039184468133109,0.8039184468133109
Cliternia,lanuvium,1.0,0.8039184468133109,0.8039184468133109
pompeii,cora,0.9858909845352173,0.9209261167617071,0.9227038565136138
cora,pompeii,0.9858909845352173,0.9227038565136138,0.9209261167617071
cures,cora,0.9850079417228699,0.9163691798845927,0.9227038565136138
firmum,cora,0.9848178029060364,0.916355916431972,0.9227038565136138
Cumae,cora,0.9800540804862976,0.9162021080652872,0.9227038565136138
signia,pompeii,0.9780067801475525,0.9131283987136114,0.9209261167617071
Varia,pompeii,0.9740278124809265,0.9080508890606108,0.9209261167617071
tusculum,Cumae,0.9708551168441772,0.9105924935567946,0.9162021080652872
ostia,pompeii,0.9663728475570679,0.8959021256083534,0.9209261167617071
pisaurum,pompeii,0.9567884206771851,0.88655743428639,0.9209261167617071
Vico,pompeii,0.9524632692337036,0.8894080519676208,0.9209261167617071
arretium,pompeii,0.9087728261947632,0.8374279311725071,0.9209261167617071
formiae,pompeii,0.8961491584777832,0.8469178903670538,0.9209261167617071
capua,tusculum,0.884215235710144,0.8271275787126451,0.9105924935567946
Dertona,tusculum,0.8483827710151672,0.7983017308371407,0.9105924935567946
