Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Κόρα,Κύρις,0.9969221353530884,0.9636937764383131,0.962955161448448
Κύρις,Κόρα,0.9969221353530884,0.962955161448448,0.9636937764383131
Οὐουλτοῦρνος,Κασιλῖνον,0.9954907894134521,0.9074699840238017,0.902445295164662
Κασιλῖνον,Οὐουλτοῦρνος,0.9954907894134521,0.902445295164662,0.9074699840238017
Ἡράκλειον,Κόρα,0.994256854057312,0.9601966796382781,0.9636937764383131
Κλούσιον,Ἐλέα,0.9922783374786377,0.9569618663480205,0.9583812394449788
Ἐλέα,Κλούσιον,0.9922783374786377,0.9583812394449788,0.9569618663480205
Ἡράκλεια,Αἴσιος,0.9913621544837952,0.9529384643800797,0.9516959709505881
Αἴσιος,Ἡράκλεια,0.9913621544837952,0.9516959709505881,0.9529384643800797
Βρεντέσιον,Κύρις,0.9908487796783447,0.9482989714991662,0.962955161448448
Κανύσιον,Ἡράκλεια,0.9897977113723755,0.9475630848638473,0.9529384643800797
Ἄντιον,Αἴσιος,0.9881201982498169,0.9477027308556342,0.9516959709505881
Καπύη,Ἐλέα,0.9875946044921875,0.9603419303894043,0.9583812394449788
Σούτριον,Κλούσιον,0.9866835474967957,0.949340735712359,0.9569618663480205
Πανδοσία,Ἡράκλεια,0.9863250851631165,0.9442624180547653,0.9529384643800797
Ῥήγιον,Κόρα,0.9861891865730286,0.9556973730364153,0.9636937764383131
Πλακεντία,Σούτριον,0.9861685633659363,0.9487413321771929,0.949340735712359
Πετηλῖνα,Ἡράκλεια,0.9843424558639526,0.9469617393708998,0.9529384643800797
Κρότων,Ἐλέα,0.9838302731513977,0.9482239157922806,0.9583812394449788
Κορφίνιον,Αἴσιος,0.9831170439720154,0.9451636325928473,0.9516959709505881
Σητία,Κρότων,0.9820971488952637,0.94463457792036,0.9482239157922806
Φιδεντία,Κλούσιον,0.9806286096572876,0.9460505400934527,0.9569618663480205
Καυλωνία,Ῥήγιον,0.9783514142036438,0.9510831006111637,0.9556973730364153
Πομπηία,Καυλωνία,0.9695930480957031,0.9312679383062548,0.9510831006111637
Ἀγκών,Βρεντέσιον,0.9449066519737244,0.866525738470016,0.9482989714991662
Ἄλβα Φουκινίς,Βρεντέσιον,0.8982051610946655,0.812290531973685,0.9482989714991662
