Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Κύμη,Κύρις,0.9955909252166748,0.9724532842636109,0.9721266547838847
Κύρις,Κύμη,0.9955909252166748,0.9721266547838847,0.9724532842636109
Ἡράκλεια,Ῥήγιον,0.9905896782875061,0.9707546273867289,0.9697134931882222
Ῥήγιον,Ἡράκλεια,0.9905896782875061,0.9697134931882222,0.9707546273867289
Κρότων,Κύμη,0.9854654669761658,0.9617333889007569,0.9724532842636109
Καυλωνία,Ῥήγιον,0.984080970287323,0.9476310690244039,0.9697134931882222
Κόρα,Καυλωνία,0.9840632081031799,0.9512820482254029,0.9476310690244039
Σούτριον,Κύμη,0.9834452271461487,0.9555285294850667,0.9724532842636109
Λᾶος,Κρότων,0.9833905696868896,0.9549595514933268,0.9617333889007569
Ἄλβα Φουκινίς,Κρότων,0.9817529320716858,0.9549173990885417,0.9617333889007569
Κλούσιον,Ἄλβα Φουκινίς,0.976040244102478,0.946910027662913,0.9549173990885417
Μεταπόντιον,Ἄλβα Φουκινίς,0.9753479361534119,0.948982834815979,0.9549173990885417
Πύργοι,Καυλωνία,0.9504929184913635,0.8747385819753011,0.9476310690244039
