Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Κύρις,Κόρα,0.9976025223731995,0.947682347562578,0.9496853042531896
Κόρα,Κύρις,0.9976025223731995,0.9496853042531896,0.947682347562578
Ῥήγιον,Κύμη,0.9921851754188538,0.9243292521547388,0.923278099960751
Κύμη,Ῥήγιον,0.9921851754188538,0.923278099960751,0.9243292521547388
Καπύη,Κόρα,0.9895246624946594,0.945526244463744,0.9496853042531896
Ῥουσιλανοί,Κύμη,0.9878777861595154,0.9173643920156691,0.923278099960751
Αἴσιος,Ῥήγιον,0.9864178895950317,0.9220678166106895,0.9243292521547388
Σιγνία,Κύμη,0.9849692583084106,0.9126212155377423,0.923278099960751
Οὐιοί,Αἴσιος,0.9844661951065063,0.9142898519833883,0.9220678166106895
Τελαμών,Κύμη,0.9832466244697571,0.9112852370297467,0.923278099960751
Ἄλβα Φουκινίς,Πομπηία,0.9814867377281189,0.946537768399274,0.9439892945466218
Πομπηία,Ἄλβα Φουκινίς,0.9814867377281189,0.9439892945466218,0.946537768399274
Κρότων,Πομπηία,0.9789973497390747,0.9443746407826742,0.9439892945466218
Τριβόλα,Κρότων,0.9710803627967834,0.9329602828732243,0.9443746407826742
Πάρμα,Ἄντιον,0.970696747303009,0.879757371213701,0.8953172100914849
Ἄντιον,Πάρμα,0.970696747303009,0.8953172100914849,0.879757371213701
Φερεντῖνον,Ἄντιον,0.9689955115318298,0.8870096692332515,0.8953172100914849
Ἄλσιον,Καπύη,0.9675421714782715,0.92146764198939,0.945526244463744
Βατία,Ἄντιον,0.9384632706642151,0.8828427659140693,0.8953172100914849
Ἀρδέα,Ἄντιον,0.9302719831466675,0.8752824399206374,0.8953172100914849
