Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Ἡράκλεια,Ἡράκλειον,0.996953547000885,0.9654780626296997,0.9678175220122704
Ἡράκλειον,Ἡράκλεια,0.996953547000885,0.9678175220122704,0.9654780626296997
Κόρα,Ἡράκλειον,0.9932927489280701,0.9707455451671894,0.9678175220122704
Αἴσιος,Κόρα,0.9899367690086365,0.9667479212467487,0.9707455451671894
Καπύη,Κύμη,0.9835650324821472,0.9350605882131137,0.9417303342085618
Κύμη,Καπύη,0.9835650324821472,0.9417303342085618,0.9350605882131137
Κρότων,Ἡράκλεια,0.9803808331489563,0.9419679595873907,0.9654780626296997
Πύργοι,Κύμη,0.9787912964820862,0.9405765991944534,0.9417303342085618
Ῥήγιον,Ἡράκλεια,0.9785498380661011,0.949462904379918,0.9654780626296997
Τεμέση,Κόρα,0.9758591055870056,0.9516878357300391,0.9707455451671894
Καυλωνία,Ῥήγιον,0.9309758543968201,0.8793645455287054,0.949462904379918
