Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Καπύη,Κύρις,0.9940029978752136,0.9683499766720666,0.9677686161465116
Κύρις,Καπύη,0.9940029978752136,0.9677686161465116,0.9683499766720666
Ἄλβα Φουκινίς,Ἡράκλεια,0.9937770366668701,0.9492115643289354,0.9556177159150442
Ἡράκλεια,Ἄλβα Φουκινίς,0.9937770366668701,0.9556177159150442,0.9492115643289354
Ῥήγιον,Κύρις,0.9936943054199219,0.9653062919775645,0.9677686161465116
Οὐολατέρρα,Ποπλώνιον,0.9925470948219299,0.9016019701957703,0.8958627714051141
Ποπλώνιον,Οὐολατέρρα,0.9925470948219299,0.8958627714051141,0.9016019701957703
Κλούσιον,Ἡράκλεια,0.9922592043876648,0.9481809304820167,0.9556177159150442
Βρεντέσιον,Ἡράκλεια,0.991532027721405,0.948675725195143,0.9556177159150442
Ἡράκλειον,Κύρις,0.9846744537353516,0.9525847997930315,0.9677686161465116
Πάρμα,Ἡράκλεια,0.984507143497467,0.9452479614151849,0.9556177159150442
Σκύλλαιον,Ἡράκλεια,0.9828627705574036,0.9582562380366855,0.9556177159150442
Πλακεντία,Ἡράκλειον,0.982793390750885,0.9474756485886044,0.9525847997930315
Κανύσιον,Βρεντέσιον,0.9820868372917175,0.9323768284585741,0.948675725195143
Κρότων,Καπύη,0.9753302931785583,0.9474189016554091,0.9683499766720666
Κύμη,Ῥήγιον,0.9650009274482727,0.9329546988010406,0.9653062919775645
Ἐγνατία ὁδός,Ῥήγιον,0.9475821852684021,0.9237375126944648,0.9653062919775645
