Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
reate,nursia,1.0,0.8890233328265529,0.8890233318651876
nursia,reate,1.0,0.8890233318651876,0.8890233328265529
signia,capua,0.9874569177627563,0.9345870517915295,0.9309675837716749
capua,signia,0.9874569177627563,0.9309675837716749,0.9345870517915295
nola,signia,0.9848002195358276,0.9361780074334913,0.9345870517915295
acerrae,allifae,0.9830337762832642,0.8744448567590406,0.8845568731907876
allifae,acerrae,0.9830337762832642,0.8845568731907876,0.8744448567590406
cannae,capua,0.9825199246406555,0.9241139388853504,0.9309675837716749
anagnia,frusino,0.9822601079940796,0.9170092296215796,0.9084729398450544
frusino,anagnia,0.9822601079940796,0.9084729398450544,0.9170092296215796
Atella,calatia,0.9795107245445251,0.8744633159329814,0.8931228912645771
calatia,Atella,0.9795107245445251,0.8931228912645771,0.8744633159329814
fregellae,anagnia,0.9785270094871521,0.8996049656021979,0.9170092296215796
ostia,nola,0.976576566696167,0.9339975887729276,0.9361780074334913
fundi,nola,0.9758592247962952,0.9259745699744071,0.9361780074334913
sulmo,signia,0.9755309820175171,0.9211556796104677,0.9345870517915295
tibur,collatia,0.9746196866035461,0.8718499070213687,0.8680926503673676
collatia,tibur,0.9746196866035461,0.8680926503673676,0.8718499070213687
amyclae,nola,0.9744719862937927,0.9278567202629582,0.9361780074334913
luna,capua,0.9730594754219055,0.9189083970362141,0.9309675837716749
atina,frusino,0.969406008720398,0.8929718915493258,0.9084729398450544
aesis,casinum,0.9682635068893433,0.8995570578882771,0.8928878240046962
casinum,aesis,0.9682635068893433,0.8928878240046962,0.8995570578882771
misenum,aquinum,0.968174159526825,0.8704619917177385,0.8871119512665656
aquinum,misenum,0.968174159526825,0.8871119512665656,0.8704619917177385
liternum,nola,0.9678152203559875,0.9271592805462499,0.9361780074334913
teate,anagnia,0.967778205871582,0.9094363527913247,0.9170092296215796
Parthenope,nola,0.9668261408805847,0.9200976971657046,0.9361780074334913
cales,ardea,0.9656341075897217,0.9097250132791458,0.9221062910172247
ardea,cales,0.9656341075897217,0.9221062910172247,0.9097250132791458
praeneste,capua,0.9648885130882263,0.9163546244944295,0.9309675837716749
Hispellum,aquinum,0.9626356959342957,0.8691178954416706,0.8871119512665656
Surrentum,liternum,0.9616420865058899,0.9229116218705331,0.9271592805462499
clusium,sulmo,0.9611923098564148,0.8985366427129314,0.9211556796104677
fidenae,cora,0.9607831835746765,0.8758591019338177,0.8750996032068806
cora,fidenae,0.9607831835746765,0.8750996032068806,0.8758591019338177
venafrum,frusino,0.960236132144928,0.8851064789679742,0.9084729398450544
Caieta,amyclae,0.9582782983779907,0.9047495347838248,0.9278567202629582
paestum,liternum,0.952292799949646,0.9038114201638007,0.9271592805462499
pollentia,sulmo,0.9513693451881409,0.8986831903457642,0.9211556796104677
aricia,signia,0.9510248303413391,0.884869231331733,0.9345870517915295
Fidentia,capua,0.9504037499427795,0.8833397809536226,0.9309675837716749
Tuder,signia,0.9497026205062866,0.8821099208247277,0.9345870517915295
canusium,capua,0.9472561478614807,0.8667061357728897,0.9309675837716749
scylla,frusino,0.9462931752204895,0.8765259990769048,0.9084729398450544
setia,paestum,0.9458412528038025,0.8876872552979377,0.9038114201638007
fregenae,cannae,0.940169095993042,0.8888775119858403,0.9241139388853504
cures,amyclae,0.9400067925453186,0.8750729407033613,0.9278567202629582
florentia,paestum,0.9367592334747314,0.8706603540528205,0.9038114201638007
genua,setia,0.9308567643165588,0.8661758620892802,0.8876872552979377
antemnae,fundi,0.8987352252006531,0.8544034842521914,0.9259745699744071
