Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
nuceria,amyclae,0.9743539094924927,0.9211139217499764,0.9278567202629582
romulea,nola,0.9699733257293701,0.91795404591868,0.9361780074334913
Scaptia,venafrum,0.9684300422668457,0.8799549860339011,0.8851064789679742
tifata,signia,0.9644209146499634,0.9131884642185704,0.9345870517915295
velia,paestum,0.9627828001976013,0.9014239474650352,0.9038114201638007
Arcanum,signia,0.9624858498573303,0.9030135600797592,0.9345870517915295
trica,frusino,0.9565122723579407,0.8909469141114142,0.9084729398450544
sabata,paestum,0.9564152956008911,0.9015152377467002,0.9038114201638007
Senum,aquinum,0.9523992538452148,0.8627969901407918,0.8871119512665656
laurentum,sulmo,0.9372924566268921,0.8748695475439872,0.9211556796104677
marouion,ardea,0.9323344826698303,0.8799252721571154,0.9221062910172247
