Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Εἰσπέλλον,Τοῦδερ,1.0,0.8614673443359904,0.8614673413852654
Ῥεᾶτε,Ἀμίτερνον,1.0,0.9217445443172266,0.9217445608412865
Στατωνία,Νεπήτα,1.0,0.9194557843822064,0.9194557843822064
Σιγνία,Σητία,1.0,0.8701629609164625,0.8701629609164625
Σητία,Σιγνία,1.0,0.8701629609164625,0.8701629609164625
Ἀντέμναι,Φιδῆναι,1.0,0.928788709168387,0.928788709168387
Τοῦδερ,Εἰσπέλλον,1.0,0.8614673413852654,0.8614673443359904
Ἀμίτερνον,Ῥεᾶτε,1.0,0.9217445608412865,0.9217445443172266
Φερεντῖνον,Νεπήτα,1.0,0.9194557885132214,0.9194557843822064
Φιδῆναι,Ἀντέμναι,1.0,0.928788709168387,0.928788709168387
Νεπήτα,Σούτριον,1.0,0.9194557843822064,0.9194557885132214
Σούτριον,Νεπήτα,1.0,0.9194557885132214,0.9194557843822064
Ἄλσιον,Φρεγῆνα,0.9999998807907104,0.9318126534471417,0.9318126782332317
Φρεγῆνα,Ἄλσιον,0.9999998807907104,0.9318126782332317,0.9318126534471417
Ἡράκλεια,Ἡράκλειον,0.9980379343032837,0.959036677190573,0.9580260768975362
Ἡράκλειον,Ἡράκλεια,0.9980379343032837,0.9580260768975362,0.959036677190573
Κύμη,Ἡράκλεια,0.9951854348182678,0.9585867341202085,0.959036677190573
Βρεντέσιον,Ἡράκλειον,0.9944010376930237,0.9536975456936525,0.9580260768975362
Πύργοι,Φρεγῆνα,0.9942923784255981,0.9368424521814479,0.9318126782332317
Ποπλώνιον,Ἡράκλειον,0.9933391809463501,0.9549051894999967,0.9580260768975362
Ἄντιον,Ἡράκλεια,0.9933338761329651,0.956987176201131,0.959036677190573
Ἀρικία,Ἄντιον,0.9931745529174805,0.9522490690250208,0.956987176201131
Ἀδρίᾳ,Βρεντέσιον,0.9923664331436157,0.949862267711375,0.9536975456936525
Κύρις,Κύμη,0.9921702146530151,0.9537631261466754,0.9585867341202085
Ῥήγιον,Κύμη,0.9919426441192627,0.9532694344473357,0.9585867341202085
Ἄπουλον Τέανον,Βρεντέσιον,0.9916802644729614,0.9501276039841151,0.9536975456936525
Σκύλλαιον,Ἡράκλειον,0.9911425113677979,0.9507122399783371,0.9580260768975362
Ἠρητὸν,Ἀγκών,0.9910558462142944,0.938616680626822,0.9346387415829271
Ἀγκών,Ἠρητὸν,0.9910558462142944,0.9346387415829271,0.938616680626822
Μέδμα,Ἠρητὸν,0.9905820488929749,0.9311966878352779,0.938616680626822
