Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Ἰντέραμνά,Σπολήτιον,1.0,0.8840407286540116,0.8840407286540116
Κολλατία,Ἀντέμναι,1.0,0.928788706217662,0.928788709168387
λαρολονι,Ναρνία,0.9999998807907104,0.928794775268819,0.9287947746786741
Λάρισα,Ἡράκλεια,0.9942511320114136,0.957538380481229,0.959036677190573
Καταράκτα,Βρεντέσιον,0.994132936000824,0.9485310782300364,0.9536975456936525
Νεάπολις,Βρεντέσιον,0.9914106726646423,0.950162136908805,0.9536975456936525
Λοῦκα,Ἠρητὸν,0.9892060160636902,0.933762527928494,0.938616680626822
Μαρούιον,Ἄτερνον,0.9869871735572815,0.9209794998168945,0.9355125787234543
Δικαιάρχεια,Ἡράκλεια,0.986259400844574,0.9485760313449519,0.959036677190573
Καλάσαρνα,Γρουμεντὸν,0.9860753417015076,0.9246236540303372,0.9295058197314197
Μαρκῖνα,Ἐλέα,0.9845172762870789,0.9326339641419967,0.933859387836834
Καῖνυς,Ἠρητὸν,0.9838563203811646,0.9235190802281446,0.938616680626822
Πάννα,Γρουμεντὸν,0.9815902709960938,0.932424808492755,0.9295058197314197
Πειραιεύς,Βρεντέσιον,0.9815520644187927,0.937544031898574,0.9536975456936525
Μιντούρνας,Ἐγνατία ὁδός,0.9812198281288147,0.9018738966177006,0.9185274408595396
Ἀπίολα,Ἄλβα Φουκινίς,0.9767589569091797,0.8966318451532043,0.9311423756108426
Ἰντεράμνιον,Αἴσιος,0.9686850309371948,0.8703168760431875,0.9043257136156063
Λαυρεντόν,Δέρθων,0.9598153829574585,0.8749338500570543,0.8945393727557494
