Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
aletrium,verulae,1.0,0.9290202558040619,0.9290202558040619
verulae,aletrium,1.0,0.9290202558040619,0.9290202558040619
collatia,signia,0.9951509833335876,0.9483006497224172,0.9477572687614111
signia,collatia,0.9951509833335876,0.9477572687614111,0.9483006497224172
antium,satricum,0.9945794343948364,0.9524876295048513,0.94857320263062
satricum,antium,0.9945794343948364,0.94857320263062,0.9524876295048513
capua,veii,0.9945486783981323,0.9501819640030096,0.9468807644314237
veii,capua,0.9945486783981323,0.9468807644314237,0.9501819640030096
cannae,capua,0.9942354559898376,0.9479494256737792,0.9501819640030096
nola,capua,0.9940934777259827,0.9504789894009814,0.9501819640030096
casilinum,nola,0.9939440488815308,0.9494427968690424,0.9504789894009814
ardea,veii,0.9936671853065491,0.9437602986524134,0.9468807644314237
gabii,veii,0.993436336517334,0.9411976355829357,0.9468807644314237
privernum,veii,0.9932995438575745,0.9434650786864904,0.9468807644314237
praeneste,veii,0.9931113123893738,0.9473583621007425,0.9468807644314237
velitrae,praeneste,0.9930312037467957,0.9491440992296478,0.9473583621007425
tibur,antium,0.9925701022148132,0.9486579460862242,0.9524876295048513
cora,praeneste,0.9924570918083191,0.9436502636950693,0.9473583621007425
canusium,capua,0.9922712445259094,0.946600631431297,0.9501819640030096
tusculum,velitrae,0.9911336898803711,0.9467968473463882,0.9491440992296478
sutrium,antium,0.9907925724983215,0.9483790048110632,0.9524876295048513
suessula,cales,0.9907061457633972,0.9433160806879585,0.9474265023514077
cales,suessula,0.9907061457633972,0.9474265023514077,0.9433160806879585
venusia,canusium,0.9906732439994812,0.9459011937365119,0.946600631431297
caudium,cannae,0.9902284741401672,0.9400829352714397,0.9479494256737792
fidenae,antium,0.9899317622184753,0.9457905722988976,0.9524876295048513
formiae,praeneste,0.9895437359809875,0.9437524720474526,0.9473583621007425
Vico,veii,0.989177942276001,0.9408479277734403,0.9468807644314237
aquilonia,signia,0.988691508769989,0.9411822274143313,0.9477572687614111
fregellae,praeneste,0.9886526465415955,0.9451493517852124,0.9473583621007425
nomentum,veii,0.9885749220848083,0.9384447391386386,0.9468807644314237
