Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
ameriola,ficulea,1.0,0.818311815276558,0.818311815276558
orbitanium,aecae,0.9937942028045654,0.9039069855654681,0.910309726441348
nuceria,nola,0.9903552532196045,0.9417162636915842,0.9504789894009814
murgantia,veii,0.9891237020492554,0.940522743595971,0.9468807644314237
cominium,aquilonia,0.9872638583183289,0.9432909816135595,0.9411822274143313
tifata,casilinum,0.9862022995948792,0.9406168685283189,0.9494427968690424
corbio,collatia,0.9858884811401367,0.940371381279863,0.9483006497224172
verrugo,veii,0.9852186441421509,0.9320641811247226,0.9468807644314237
larissa,nola,0.9851693511009216,0.9409492012159324,0.9504789894009814
austicula,trebula,0.9839950203895569,0.908169710341795,0.9200215446360317
ecetra,antium,0.9832674860954285,0.9415749351919434,0.9524876295048513
vescia,ostia,0.9828343987464905,0.9382189144322901,0.944187061286267
corioli,antium,0.9826666712760925,0.941542003625705,0.9524876295048513
milionia,tusculum,0.9812331199645996,0.9333260066715288,0.9467968473463882
ausona,casilinum,0.9776365160942078,0.9360751023998967,0.9494427968690424
tifernum,satricum,0.9773394465446472,0.9316807426052329,0.94857320263062
longula,antium,0.9755346179008484,0.9325082405113879,0.9524876295048513
neapolis,capua,0.97402024269104,0.9311014369682029,0.9501819640030096
velia,ardea,0.9737535119056702,0.9233656165040569,0.9437602986524134
vitellia,lavinium,0.9715542793273926,0.9254373212655386,0.9321120396072482
carventum citadel,herculaneum,0.968511164188385,0.8673917971275471,0.8690896935668992
cameria,fidenae,0.9671941995620728,0.913751635654473,0.9457905722988976
clampetia,ocriculum,0.9671125411987305,0.9125508684435009,0.9308282847021833
romulea,anagnia,0.9668176174163818,0.9044835515964178,0.931142638494939
laurentum,aesis,0.9649627208709717,0.8361549741692014,0.8422148327032725
cortuosa,lavinium,0.9619241952896118,0.9027683021109781,0.9321120396072482
palumbinum,satricum,0.9574242830276489,0.912973764501972,0.94857320263062
lymphaeum,ocriculum,0.9554169178009033,0.8840476980915776,0.9308282847021833
besidiae,ocriculum,0.9554169178009033,0.8840476980915776,0.9308282847021833
bergae,ocriculum,0.9554169178009033,0.8840476980915776,0.9308282847021833
argentanum,ocriculum,0.9554169178009033,0.8840476980915776,0.9308282847021833
cutina,signia,0.9511955380439758,0.8950778566024922,0.9477572687614111
bolani,eretum,0.9511207342147827,0.9055541845751397,0.9346243389594702
carventum,privernum,0.9504409432411194,0.8955695401003332,0.9434650786864904
apiolae,signia,0.9496288299560547,0.8996590239766203,0.9477572687614111
contenebra,lavinium,0.949478030204773,0.8829062522193531,0.9321120396072482
plestina,satricum,0.94557124376297,0.9062912729051378,0.94857320263062
fresilia,satricum,0.94557124376297,0.9062912729051378,0.94857320263062
taurania,collatia,0.9453301429748535,0.9057631614031615,0.9483006497224172
acuca,nola,0.9440328478813171,0.8991880773762126,0.9504789894009814
empulum,suessula,0.9426725506782532,0.8855829643614498,0.9433160806879585
Solonium,Cumae,0.9392218589782715,0.8804679119292601,0.9287334522347391
cimetra,cales,0.9363759160041809,0.8927579879024883,0.9474265023514077
trifanum,forentum,0.9358261823654175,0.8646051887376809,0.8714507648974289
litubium,sora,0.9333618879318237,0.8914494657957995,0.9384878745049606
sicilinum,fidenae,0.9298204183578491,0.8864296810862459,0.9457905722988976
vercellium,fidenae,0.9298204183578491,0.8864296810862459,0.9457905722988976
carystum,fidenae,0.9293777942657471,0.8884450914683165,0.9457905722988976
duronia,aricia,0.927849531173706,0.8861831529640857,0.940723721259906
feritrum,fregellae,0.9217374324798584,0.8764399878772688,0.9451493517852124
Scaptia,minturnae,0.8696775436401367,0.8046041719707442,0.9156430702150604
