Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
aesis,pisaurum,1.0,0.8387712694349743,0.8387712694349743
Libarna,Dertona,1.0,0.8369166701018405,0.8369166701018405
pisaurum,aesis,1.0,0.8387712694349743,0.8387712694349743
pyrgi,graviscae,1.0,0.8164672912383566,0.8164672912383566
Cluana,Numana,1.0,0.8267242600317715,0.8267242600317715
Dertona,Libarna,1.0,0.8369166701018405,0.8369166701018405
Hispellum,aesis,1.0,0.8387712694349743,0.8387712694349743
graviscae,pyrgi,1.0,0.8164672912383566,0.8164672912383566
Numana,Cluana,1.0,0.8267242600317715,0.8267242600317715
Tuder,aesis,1.0,0.8387712694349743,0.8387712694349743
compsa,Abellinum,0.9967283606529236,0.8386453167110884,0.8378056762169819
Abellinum,compsa,0.9967283606529236,0.8378056762169819,0.8386453167110884
caudium,compsa,0.9965474605560303,0.8368426050458636,0.8386453167110884
formiae,Caieta,0.9912721514701843,0.8612145534178026,0.8603408482609963
Caieta,formiae,0.9912721514701843,0.8603408482609963,0.8612145534178026
nomentum,interamnates,0.9903278350830078,0.8283403017082993,0.8337320409664492
interamnates,nomentum,0.9903278350830078,0.8337320409664492,0.8283403017082993
Sestinum,Tuficum,0.9898104667663574,0.7920864621798197,0.7869572217772607
Tuficum,Sestinum,0.9898104667663574,0.7869572217772607,0.7920864621798197
Varia,luna,0.9868704676628113,0.8569724239459654,0.8484501656220884
luna,Varia,0.9868704676628113,0.8484501656220884,0.8569724239459654
signia,Vico,0.984587550163269,0.867573066228101,0.8787632754870823
Vico,signia,0.984587550163269,0.8787632754870823,0.867573066228101
clusium,lanuvium,0.9834533333778381,0.8229243183622554,0.8064650009278538
lanuvium,clusium,0.9834533333778381,0.8064650009278538,0.8229243183622554
ostia,reate,0.9802759885787964,0.8855970359983898,0.8942647681755274
reate,ostia,0.9802759885787964,0.8942647681755274,0.8855970359983898
capua,Vico,0.9802182912826538,0.8768803254276717,0.8787632754870823
fundi,luna,0.9767031669616699,0.8357714451089198,0.8484501656220884
genua,Varia,0.9762579202651978,0.8579306314591648,0.8569724239459654
aquilonia,fundi,0.9759051203727722,0.8336304705970141,0.8357714451089198
Faventia,capua,0.9738342761993408,0.8907465277885904,0.8768803254276717
Horta,Vico,0.9732420444488525,0.8617360900048496,0.8787632754870823
scylla,ostia,0.9717931747436523,0.8731734756709767,0.8855970359983898
praeneste,Vico,0.9707639217376709,0.8679046379465635,0.8787632754870823
pollentia,canusium,0.9701812863349915,0.8802277226837314,0.8813783952168056
canusium,pollentia,0.9701812863349915,0.8813783952168056,0.8802277226837314
tusculum,capua,0.968768835067749,0.8724827287959404,0.8768803254276717
fidenae,interamnates,0.9672101140022278,0.846029573962802,0.8337320409664492
trebula,reate,0.9656057357788086,0.8938675717431672,0.8942647681755274
Surrentum,capua,0.9650737047195435,0.8663896443892498,0.8768803254276717
tibur,Vico,0.9643321633338928,0.876427026427522,0.8787632754870823
aufidena,nomentum,0.9635823369026184,0.8028414241310691,0.8283403017082993
venusia,atina,0.9621462225914001,0.8604586785342417,0.8849678432860342
atina,venusia,0.9621462225914001,0.8849678432860342,0.8604586785342417
pompeii,praeneste,0.9607579112052917,0.8611815267679642,0.8679046379465635
