Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
collatia,fidenae,1.0,0.8999993205070496,0.8999993205070496
fidenae,collatia,1.0,0.8999993205070496,0.8999993205070496
lanuvium,collatia,1.0,0.8999993205070496,0.8999993205070496
tusculum,collatia,1.0,0.8999993205070496,0.8999993205070496
veii,collatia,1.0,0.8999993205070496,0.8999993205070496
capua,pompeii,0.9449243545532227,0.9019649848341942,0.8818022571504116
pompeii,capua,0.9449243545532227,0.8818022571504116,0.9019649848341942
minturnae,capua,0.9206610321998596,0.8584747612476349,0.9019649848341942
cora,capua,0.9201064109802246,0.8617181479930878,0.9019649848341942
cales,capua,0.9161690473556519,0.8569219522178173,0.9019649848341942
praeneste,capua,0.9101050496101379,0.838064830750227,0.9019649848341942
fundi,cales,0.8672779202461243,0.77639364823699,0.8569219522178173
firmum,praeneste,0.8422706127166748,0.7681111507117748,0.838064830750227
trebula,collatia,0.8248026371002197,0.7858817875385284,0.8999993205070496
