Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
arpinum,tusculum,0.9712188243865967,0.893287947049012,0.891222628387245
tusculum,arpinum,0.9712188243865967,0.891222628387245,0.893287947049012
formiae,arpinum,0.9711366891860962,0.88954137144862,0.893287947049012
lanuvium,arpinum,0.9686968922615051,0.8885686252568219,0.893287947049012
capua,pompeii,0.966359555721283,0.8922003636489043,0.8868328300682274
pompeii,capua,0.966359555721283,0.8868328300682274,0.8922003636489043
signia,formiae,0.9614729881286621,0.8881809502034574,0.88954137144862
calatia,casilinum,0.9583207368850708,0.7945574409252888,0.8303690874898756
casilinum,calatia,0.9583207368850708,0.8303690874898756,0.7945574409252888
firmum,cures,0.9577526450157166,0.8666094235471777,0.8707166507437423
cures,firmum,0.9577526450157166,0.8707166507437423,0.8666094235471777
cora,cures,0.9573224782943726,0.862380185642758,0.8707166507437423
Cumae,capua,0.9569597840309143,0.8835681999051893,0.8922003636489043
misenum,pompeii,0.9555788040161133,0.8633497937305553,0.8868328300682274
antium,capua,0.9549816846847534,0.8711392541189451,0.8922003636489043
cales,capua,0.9448904991149902,0.8663562777880076,0.8922003636489043
fundi,Cumae,0.9372645020484924,0.865838922358848,0.8835681999051893
collatia,signia,0.9348750114440918,0.832319568943333,0.8881809502034574
luca,firmum,0.9343093633651733,0.83994699007756,0.8666094235471777
Caieta,arpinum,0.9191885590553284,0.8455964471842792,0.893287947049012
canusium,signia,0.9186810255050659,0.8266038266388146,0.8881809502034574
venusia,tusculum,0.9161186814308167,0.8410420901066548,0.891222628387245
tibur,firmum,0.911666214466095,0.7983372662518475,0.8666094235471777
aquinum,arpinum,0.9059840440750122,0.8339568585962862,0.893287947049012
larinum,capua,0.8880012631416321,0.777861335793057,0.8922003636489043
anagnia,capua,0.8791570067405701,0.803299064571793,0.8922003636489043
reate,capua,0.8671802878379822,0.783687221037375,0.8922003636489043
sulmo,capua,0.8395087718963623,0.7798373860281866,0.8922003636489043
capena,capua,0.802590012550354,0.7392938555897893,0.8922003636489043
alsium,arpinum,0.793630838394165,0.7156303073908832,0.893287947049012
praeneste,lanuvium,0.6939547657966614,0.622342133844221,0.8885686252568219
