Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
arretium,pisaurum,1.0,0.8065726529149448,0.8065726529149448
pisaurum,arretium,1.0,0.8065726529149448,0.8065726529149448
cora,cures,0.974598228931427,0.8859887158169466,0.8728586224948659
cures,cora,0.974598228931427,0.8728586224948659,0.8859887158169466
firmum,cures,0.9736618399620056,0.8762721734888413,0.8728586224948659
Cumae,cora,0.9724726676940918,0.8763358067063725,0.8859887158169466
pompeii,cora,0.9661516547203064,0.8862624413826886,0.8859887158169466
tusculum,cora,0.9514124989509583,0.8748806750073153,0.8859887158169466
signia,pompeii,0.9511561393737793,0.869906814659343,0.8862624413826886
ostia,cora,0.9117879271507263,0.8249564451329848,0.8859887158169466
formiae,pompeii,0.8915390372276306,0.8092186836635366,0.8862624413826886
luca,pompeii,0.8867462277412415,0.8122474095400642,0.8862624413826886
lanuvium,cora,0.8573825359344482,0.7970521905842949,0.8859887158169466
capua,cora,0.6686561703681946,0.6473167643827551,0.8859887158169466
