Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Κασιλῖνον,Οὐουλτοῦρνος,1.0,0.9083849172438344,0.9083849172438344
Οὐουλτοῦρνος,Κασιλῖνον,1.0,0.9083849172438344,0.9083849172438344
Κόρα,Κύρις,0.9925961494445801,0.942775422526944,0.9451191348414267
Κύρις,Κόρα,0.9925961494445801,0.9451191348414267,0.942775422526944
Ἡράκλειον,Κύρις,0.9905993938446045,0.9436421490484669,0.9451191348414267
Πλακεντία,Κανύσιον,0.9869905710220337,0.8591286155485338,0.8642514424939309
Κανύσιον,Πλακεντία,0.9869905710220337,0.8642514424939309,0.8591286155485338
Καυλωνία,Κύρις,0.9835109114646912,0.9328905940055847,0.9451191348414267
Ἐλέα,Κλούσιον,0.9811223149299622,0.9222704921999285,0.9193492666367562
Κλούσιον,Ἐλέα,0.9811223149299622,0.9193492666367562,0.9222704921999285
Πομπηία,Κανύσιον,0.9806399345397949,0.8642627577627858,0.8642514424939309
Καπύη,Κύρις,0.9794110059738159,0.9338165617758228,0.9451191348414267
Βρεντέσιον,Ἡράκλειον,0.9792950749397278,0.9396187874578661,0.9436421490484669
Ῥήγιον,Βρεντέσιον,0.9773714542388916,0.9305004823592401,0.9396187874578661
Ἀγκών,Κανύσιον,0.976198673248291,0.8632596481230951,0.8642514424939309
Σητία,Κανύσιον,0.9755042791366577,0.8525240594340909,0.8642514424939309
Ἡράκλεια,Ἡράκλειον,0.9738474488258362,0.9229809834111121,0.9436421490484669
Αἴσιος,Ἡράκλεια,0.9665002822875977,0.9089302247570407,0.9229809834111121
Σούτριον,Ἡράκλεια,0.9628751873970032,0.9021659974128969,0.9229809834111121
Ἄντιον,Ἡράκλεια,0.9625123143196106,0.8932347393804981,0.9229809834111121
Κρότων,Ἡράκλεια,0.9544036388397217,0.8910673645234877,0.9229809834111121
Κορφίνιον,Βρεντέσιον,0.9449958801269531,0.8837965649943198,0.9396187874578661
Πετηλῖνα,Ῥήγιον,0.9412418007850647,0.8887243770783947,0.9305004823592401
Ἄλβα Φουκινίς,Κρότων,0.9330466389656067,0.8636323444304927,0.8910673645234877
Πανδοσία,Ῥήγιον,0.9306337237358093,0.8694643551303495,0.9305004823592401
Φιδεντία,Ῥήγιον,0.9306027889251709,0.8690273338748563,0.9305004823592401
