Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Ἡράκλεια,Ῥήγιον,0.987714409828186,0.9471471786499024,0.9491164048512777
Ῥήγιον,Ἡράκλεια,0.987714409828186,0.9491164048512777,0.9471471786499024
Κρότων,Ῥήγιον,0.9876522421836853,0.9413591345151265,0.9491164048512777
Κύρις,Ῥήγιον,0.9818183183670044,0.9419363816579183,0.9491164048512777
Καυλωνία,Ῥήγιον,0.980988085269928,0.9439581791559856,0.9491164048512777
Κόρα,Κύρις,0.9809069037437439,0.9416535218556722,0.9419363816579183
Κύμη,Ἡράκλεια,0.9763420224189758,0.9445305546124776,0.9471471786499024
Λᾶος,Ῥήγιον,0.9478762745857239,0.9037148594856262,0.9491164048512777
Κλούσιον,Κρότων,0.9455686211585999,0.9049299637476603,0.9413591345151265
Μεταπόντιον,Ῥήγιον,0.9380298256874084,0.904392945766449,0.9491164048512777
Πύργοι,Κόρα,0.9367033839225769,0.9074303428332011,0.9416535218556722
Ἄλβα Φουκινίς,Ῥήγιον,0.9274114370346069,0.8938801089922587,0.9491164048512777
Σούτριον,Κύμη,0.8908739686012268,0.8323237975438436,0.9445305546124776
