Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Κύρις,Κόρα,0.9934479594230652,0.9337921275032891,0.9356343348821005
Κόρα,Κύρις,0.9934479594230652,0.9356343348821005,0.9337921275032891
Ἄλβα Φουκινίς,Κόρα,0.9863698482513428,0.9347330111044424,0.9356343348821005
Κύμη,Κύρις,0.9819340705871582,0.9227063081882618,0.9337921275032891
Καπύη,Κύρις,0.9806507229804993,0.9237904305811282,0.9337921275032891
Ῥουσιλανοί,Πομπηία,0.9797136783599854,0.83545747951225,0.8362297481960721
Πομπηία,Ῥουσιλανοί,0.9797136783599854,0.8362297481960721,0.83545747951225
Ῥήγιον,Κύρις,0.9785374999046326,0.9072919333422625,0.9337921275032891
Ἄντιον,Κύρις,0.9780745506286621,0.9272731277677748,0.9337921275032891
Κρότων,Ἄλβα Φουκινίς,0.976632833480835,0.9299154965965836,0.9347330111044424
Πάρμα,Πομπηία,0.9675544500350952,0.819954494635264,0.8362297481960721
Αἴσιος,Κρότων,0.9651358127593994,0.9058640864160326,0.9299154965965836
Οὐιοί,Κρότων,0.9523910880088806,0.9017709074196992,0.9299154965965836
Σιγνία,Κόρα,0.9503734707832336,0.9070781336890327,0.9356343348821005
Τριβόλα,Κρότων,0.9459425806999207,0.88577566102699,0.9299154965965836
Φερεντῖνον,Σιγνία,0.9437830448150635,0.8907877758697227,0.9070781336890327
Ἄλσιον,Κρότων,0.9437379240989685,0.8960083436082911,0.9299154965965836
Τελαμών,Ἄλβα Φουκινίς,0.932625412940979,0.8882861115314342,0.9347330111044424
Βατία,Τριβόλα,0.9045780897140503,0.8515577183829414,0.88577566102699
Ἀρδέα,Κρότων,0.8696620464324951,0.8018733152636776,0.9299154965965836
