Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Ἡράκλεια,Κόρα,0.9831386804580688,0.9361256223458511,0.9453091346300565
Κόρα,Ἡράκλεια,0.9831386804580688,0.9453091346300565,0.9361256223458511
Ἡράκλειον,Ἡράκλεια,0.9828001260757446,0.8981416867329524,0.9361256223458511
Κρότων,Κόρα,0.9764791131019592,0.9409793936289274,0.9453091346300565
Καυλωνία,Τεμέση,0.9710373878479004,0.872851156271421,0.8677291503319373
Τεμέση,Καυλωνία,0.9710373878479004,0.8677291503319373,0.872851156271421
Κύμη,Ἡράκλεια,0.9663374423980713,0.917904216509599,0.9361256223458511
Ῥήγιον,Τεμέση,0.9615445733070374,0.9215064690663264,0.8677291503319373
Καπύη,Καυλωνία,0.9605403542518616,0.8706315297346848,0.872851156271421
Αἴσιος,Κύμη,0.9597250819206238,0.905097062771137,0.917904216509599
Πύργοι,Ἡράκλεια,0.9504283666610718,0.8893583233539875,0.9361256223458511
