Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Οὐολατέρρα,Ποπλώνιον,1.0,0.8682019710540771,0.8682019909222921
Ποπλώνιον,Οὐολατέρρα,1.0,0.8682019909222921,0.8682019710540771
Ἡράκλεια,Κύρις,0.9869055151939392,0.9515838192568885,0.9531481795840793
Κύρις,Ἡράκλεια,0.9869055151939392,0.9531481795840793,0.9515838192568885
Ῥήγιον,Κύρις,0.9844154715538025,0.9485078983836703,0.9531481795840793
Καπύη,Ῥήγιον,0.9813517332077026,0.9462408953242831,0.9485078983836703
Βρεντέσιον,Ἡράκλεια,0.9800847768783569,0.9412407808833652,0.9515838192568885
Πλακεντία,Ἡράκλεια,0.9782114624977112,0.9430328640672896,0.9515838192568885
Ἄλβα Φουκινίς,Ἡράκλεια,0.9774930477142334,0.9357493685351478,0.9515838192568885
Κλούσιον,Ἡράκλεια,0.9694891571998596,0.9300203853183322,0.9515838192568885
Ἡράκλειον,Κύρις,0.9595750570297241,0.9293214380741119,0.9531481795840793
Κρότων,Καπύη,0.9525020122528076,0.9254305495156182,0.9462408953242831
Σκύλλαιον,Κύρις,0.9488605260848999,0.9143496288193597,0.9531481795840793
Κανύσιον,Ἡράκλεια,0.9441338181495667,0.9053348137272729,0.9515838192568885
Ἐγνατία ὁδός,Πλακεντία,0.9395700097084045,0.9064267939991422,0.9430328640672896
Κύμη,Κλούσιον,0.9359570741653442,0.8978638781441582,0.9300203853183322
Πάρμα,Σκύλλαιον,0.9112676978111267,0.8668521311548021,0.9143496288193597
