Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
acerrae,allifae,1.0,0.8561877762829816,0.8561877762829816
allifae,acerrae,1.0,0.8561877762829816,0.8561877762829816
venafrum,aquinum,1.0,0.8663204864219383,0.8663204864219383
reate,nursia,1.0,0.8552450603908963,0.8552450603908963
nursia,reate,1.0,0.8552450603908963,0.8552450603908963
aquinum,venafrum,1.0,0.8663204864219383,0.8663204864219383
liternum,Caieta,0.9906872510910034,0.8599063400869016,0.8622341034588991
Caieta,liternum,0.9906872510910034,0.8622341034588991,0.8599063400869016
luca,signia,0.9854865074157715,0.9100548492537605,0.9128765276184788
signia,luca,0.9854865074157715,0.9128765276184788,0.9100548492537605
capua,luca,0.9820736646652222,0.9139034516281552,0.9100548492537605
scylla,ostia,0.9721377491950989,0.8710203799936507,0.895151267449061
ostia,scylla,0.9721377491950989,0.895151267449061,0.8710203799936507
tibur,praeneste,0.9687585234642029,0.8601925362039495,0.8850990268919203
praeneste,tibur,0.9687585234642029,0.8850990268919203,0.8601925362039495
fundi,ostia,0.967007040977478,0.9024381858331186,0.895151267449061
nola,signia,0.9652639031410217,0.9059018934214557,0.9128765276184788
anagnia,frusino,0.9644437432289124,0.9061544658961119,0.8969025998203842
frusino,anagnia,0.9644437432289124,0.8969025998203842,0.9061544658961119
amyclae,signia,0.9637867212295532,0.9045789473586612,0.9128765276184788
collatia,ostia,0.963474452495575,0.8715605250111332,0.895151267449061
fidenae,liternum,0.9608393907546997,0.8445454648247471,0.8599063400869016
cannae,luca,0.9607269167900085,0.8875392377376556,0.9100548492537605
paestum,fundi,0.9597610831260681,0.8881358261461612,0.9024381858331186
calatia,capua,0.9590778350830078,0.8968579018557513,0.9139034516281552
casinum,ostia,0.956475019454956,0.8547397046177475,0.895151267449061
luna,capua,0.9551069736480713,0.8906967054914545,0.9139034516281552
fregellae,anagnia,0.9543957114219666,0.868748750951555,0.9061544658961119
ardea,collatia,0.9496219754219055,0.8943455969845807,0.8715605250111332
cales,signia,0.9490894675254822,0.8859808224218862,0.9128765276184788
sulmo,signia,0.9409741163253784,0.8761962508713758,0.9128765276184788
canusium,capua,0.9400413632392883,0.8588005271222856,0.9139034516281552
aesis,amyclae,0.9379660487174988,0.8816234877815953,0.9045789473586612
atina,frusino,0.9363855719566345,0.8422558064813968,0.8969025998203842
florentia,ostia,0.9310742616653442,0.8124957559285341,0.895151267449061
pollentia,ardea,0.9299026727676392,0.8586766874348676,0.8943455969845807
teate,nola,0.9296940565109253,0.8634558894016124,0.9059018934214557
aricia,luca,0.929004430770874,0.8552527118612219,0.9100548492537605
antemnae,luca,0.9253431558609009,0.8567169617723536,0.9100548492537605
setia,luca,0.9209607243537903,0.8538650185973556,0.9100548492537605
cora,luna,0.9206411242485046,0.8337426726464872,0.8906967054914545
misenum,luna,0.9057261943817139,0.8471643207249818,0.8906967054914545
cures,ostia,0.9011963605880737,0.812513099776374,0.895151267449061
clusium,cales,0.8942119479179382,0.8180676246130908,0.8859808224218862
fregenae,luna,0.8709491491317749,0.7933655977249146,0.8906967054914545
genua,fregellae,0.8464084267616272,0.7403873812269282,0.868748750951555
