Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Στατωνία,Νεπήτα,1.0,0.8309963681910297,0.8309963681910297
Ἀμίτερνον,Ῥεᾶτε,1.0,0.8626427455703811,0.862642761504296
Σούτριον,Νεπήτα,1.0,0.8309963622895797,0.8309963681910297
Φερεντῖνον,Νεπήτα,1.0,0.8309963622895797,0.8309963681910297
Φιδῆναι,Ἀντέμναι,1.0,0.8852093898423827,0.8852093898423827
Σιγνία,Σητία,1.0,0.8921038744473221,0.8921038744473221
Ἀντέμναι,Φιδῆναι,1.0,0.8852093898423827,0.8852093898423827
Σητία,Σιγνία,1.0,0.8921038744473221,0.8921038744473221
Ἄλσιον,Φρεγῆνα,1.0,0.8849351996242409,0.884935191362211
Μηουανία,Ναρνία,1.0,0.8362144013442615,0.8362144013442615
Ναρνία,Μηουανία,1.0,0.8362144013442615,0.8362144013442615
Νεπήτα,Σούτριον,1.0,0.8309963681910297,0.8309963622895797
Φρεγῆνα,Ἄλσιον,1.0,0.884935191362211,0.8849351996242409
Ῥεᾶτε,Ἀμίτερνον,1.0,0.862642761504296,0.8626427455703811
Τοῦδερ,Εἰσπέλλον,0.9999999403953552,0.8735315233173937,0.8735315770205885
Εἰσπέλλον,Τοῦδερ,0.9999999403953552,0.8735315770205885,0.8735315233173937
Κάρσουλοι,Μηουανία,0.9999998807907104,0.8362143570833868,0.8362144013442615
Ἀναγνία,Κερεᾶτε,0.9955278038978577,0.8370076317598324,0.8409462860315153
Κερεᾶτε,Ἀναγνία,0.9955278038978577,0.8409462860315153,0.8370076317598324
Ἡράκλεια,Ἡράκλειον,0.9950273633003235,0.9299825040420683,0.9348121580511036
Ἡράκλειον,Ἡράκλεια,0.9950273633003235,0.9348121580511036,0.9299825040420683
Κύμη,Σκύλλαιον,0.9894241094589233,0.9346629752971158,0.9266844114454666
Σκύλλαιον,Κύμη,0.9894241094589233,0.9266844114454666,0.9346629752971158
Χῶνες,Ἄλβα Φουκινίς,0.9879504442214966,0.9314935236874193,0.9347434905495974
Ἄλβα Φουκινίς,Χῶνες,0.9879504442214966,0.9347434905495974,0.9314935236874193
Ἀρδέα,Ἡράκλειον,0.9869425296783447,0.9279062063387125,0.9348121580511036
Ἄντιον,Ἀρικία,0.9867544770240784,0.9080615049541587,0.8982453051179943
Ἀρικία,Ἄντιον,0.9867544770240784,0.8982453051179943,0.9080615049541587
Ἀδρίᾳ,Κύμη,0.9866082072257996,0.9289775337323104,0.9346629752971158
Βρεντέσιον,Ἡράκλειον,0.9855841398239136,0.9301621028692415,0.9348121580511036
Κύρις,Ἄλβα Φουκινίς,0.9850643277168274,0.9243788683768546,0.9347434905495974
Μεταπόντιον,Κύμη,0.9837939739227295,0.9263609523820405,0.9346629752971158
Φρεγέλλαι,Σάλερνον,0.9824033975601196,0.8402127470120345,0.8305175894557839
Σάλερνον,Φρεγέλλαι,0.9824033975601196,0.8305175894557839,0.8402127470120345
Κρότων,Ἡράκλειον,0.9818933606147766,0.9252930525505897,0.9348121580511036
Νήτιον,Φρεγέλλαι,0.9815653562545776,0.8388602167072863,0.8402127470120345
Ῥήγιον,Βρεντέσιον,0.9808805584907532,0.9211413441318097,0.9301621028692415
Τεμέση,Κύμη,0.9802133440971375,0.9243782121356171,0.9346629752971158
Κόρα,Ἡράκλειον,0.9801329374313354,0.9201116851060698,0.9348121580511036
Ἄπουλον Τέανον,Κύμη,0.979820966720581,0.9195746142085236,0.9346629752971158
Κανύσιον,Κύμη,0.9794301390647888,0.922404146430516,0.9346629752971158
Κασιλῖνον,Κύρις,0.9793478846549988,0.9107571562918106,0.9243788683768546
Ἐγνατία ὁδός,Ἡράκλειον,0.9789586663246155,0.9223012688136337,0.9348121580511036
Καπύη,Ἡράκλειον,0.9781635999679565,0.9236834556749551,0.9348121580511036
Ἀγκών,Ῥήγιον,0.9778390526771545,0.9181939387085414,0.9211413441318097
Ποπλώνιον,Ἡράκλεια,0.9770906567573547,0.9129083864759691,0.9299825040420683
Δέρθων,Πλακεντία,0.976703405380249,0.911461101310088,0.9078786526576127
Πλακεντία,Δέρθων,0.976703405380249,0.9078786526576127,0.911461101310088
Πομπηία,Πλακεντία,0.9762500524520874,0.9118019985680533,0.9078786526576127
Τούσκουλον,Κύμη,0.9762216806411743,0.9169955849647522,0.9346629752971158
Ἀκουῖνον,Σάλερνον,0.9756344556808472,0.8304530476579571,0.8305175894557839
Λουκερίᾳ,Σάλερνον,0.9748750925064087,0.8266173931631712,0.8305175894557839
Ὤστια,Ἄλσιον,0.9746190905570984,0.9137290173237866,0.8849351996242409
Κλούσιον,Κύρις,0.9742305874824524,0.9151834786528408,0.9243788683768546
Ἐλέα,Ἄλβα Φουκινίς,0.9729350805282593,0.9172966497959477,0.9347434905495974
Τίβουρα,Ἡράκλειον,0.9720876216888428,0.9051032579771363,0.9348121580511036
Πανδοσία,Πλακεντία,0.9699866771697998,0.9044564490271086,0.9078786526576127
Ἠρητὸν,Ἡράκλεια,0.9681535959243774,0.9050211221864908,0.9299825040420683
Ἄτερνον,Ποπλώνιον,0.9660924673080444,0.9021674300184345,0.9129083864759691
Μέδμα,Ἄντιον,0.9651826620101929,0.9000526283046987,0.9080615049541587
Αἴσιος,Ἡράκλεια,0.9650256037712097,0.9013904616384223,0.9299825040420683
Ὀυέναφρον,Ἀρικία,0.9650106430053711,0.8725568575434165,0.8982453051179943
Τούσκλον,Ποπλώνιον,0.9647734761238098,0.8996140673609063,0.9129083864759691
Σπολήτιον,Αἴσιος,0.9635686278343201,0.8842692493212105,0.9013904616384223
Παιστός,Νήτιον,0.9628173112869263,0.8414319145797503,0.8388602167072863
Πύργοι,Ἄλσιον,0.9620248079299927,0.8783193478489867,0.8849351996242409
Ὑρίη,Ἡράκλειον,0.961376965045929,0.9032557447357933,0.9348121580511036
Ἄρπινα,Ἡράκλεια,0.958769679069519,0.8946907473082589,0.9299825040420683
Κορφίνιον,Πομπηία,0.9586554169654846,0.8945286740170847,0.9118019985680533
Καυλωνία,Πλακεντία,0.957295835018158,0.887509036772322,0.9078786526576127
Λᾶος,Ποπλώνιον,0.9554039239883423,0.8959540429681835,0.9129083864759691
Λουπίαι,Ἡράκλεια,0.9518662691116333,0.8892722324569626,0.9299825040420683
Γρουμεντὸν,Δέρθων,0.9481934905052185,0.8786542875931995,0.911461101310088
Σεπτέμπεδα,Πανδοσία,0.9463732242584229,0.8886388634691144,0.9044564490271086
Βατία,Πανδοσία,0.9462292194366455,0.8800849631281182,0.9044564490271086
Σεντῖνον,Ἡράκλειον,0.9439592361450195,0.8834339138304833,0.9348121580511036
Σάρσινα,Πύργοι,0.9387830495834351,0.8660904210392791,0.8783193478489867
Σπῖνα,Ἡράκλειον,0.9386159777641296,0.872071110966182,0.9348121580511036
Ἀλβίγγαυνον,Αἴσιος,0.9381880164146423,0.8643186169095559,0.9013904616384223
Πάρμα,Δέρθων,0.9310992360115051,0.8775445116628514,0.911461101310088
Μισηνόν,Ἄλσιον,0.9171382188796997,0.8464680178330677,0.8849351996242409
Φοῦνδοι,Σπῖνα,0.9133745431900024,0.8443013878151922,0.872071110966182
Φορμίαι,Ὤστια,0.8986859917640686,0.8177436088571454,0.9137290173237866
