Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
λαρολονι,Κάρσουλοι,1.0,0.8362143570833868,0.8362143570833868
Ἰντέραμνά,Σπολήτιον,1.0,0.8842692617142555,0.8842692493212105
Ἰντεράμνιον,Ἀκουῖνον,1.0,0.8304530476579571,0.8304530476579571
Καλάσαρνα,Γρουμεντὸν,1.0,0.8786542875931995,0.8786542875931995
Κολλατία,Ἀντέμναι,0.9999998807907104,0.8852094205299227,0.8852093898423827
Μιντούρνας,Φρεγέλλαι,0.9932220578193665,0.8473691639333668,0.8402127470120345
Λάρισα,Κύμη,0.9874242544174194,0.9281520300572461,0.9346629752971158
Καταράκτα,Κύρις,0.9856603145599365,0.9152790367013157,0.9243788683768546
Νεάπολις,Φρεγέλλαι,0.9831827878952026,0.8734641936745974,0.8402127470120345
Δικαιάρχεια,Ἡράκλειον,0.9816210865974426,0.9262377088612849,0.9348121580511036
Καῖνυς,Φρεγέλλαι,0.9804418683052063,0.8314466069240382,0.8402127470120345
Μαρούιον,Κορφίνιον,0.9796181917190552,0.8693296637865576,0.8945286740170847
Πειραιεύς,Ἡράκλεια,0.9632485508918762,0.8979633739679167,0.9299825040420683
Πάννα,Ἀγκών,0.9480770230293274,0.8837933853121087,0.9181939387085414
Λοῦκα,Ἄντιον,0.9448860883712769,0.8696662370521243,0.9080615049541587
Μαρκῖνα,Πλακεντία,0.944291353225708,0.8685433351167358,0.9078786526576127
Λαυρεντόν,Πανδοσία,0.941837728023529,0.8809394954454781,0.9044564490271086
Ἀπίολα,Πανδοσία,0.9368255734443665,0.869409192316603,0.9044564490271086
