Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
verulae,aletrium,1.0,0.8931660906524416,0.8931660906524416
aletrium,verulae,1.0,0.8931660906524416,0.8931660906524416
capua,veii,0.9931379556655884,0.933075558228098,0.9336479473265873
veii,capua,0.9931379556655884,0.9336479473265873,0.933075558228098
luca,casilinum,0.9921703338623047,0.9366919694432787,0.9325286055066783
casilinum,luca,0.9921703338623047,0.9325286055066783,0.9366919694432787
cannae,luca,0.9920070767402649,0.9313126616417222,0.9366919694432787
signia,veii,0.99175626039505,0.9300125089420634,0.9336479473265873
nola,casilinum,0.9916702508926392,0.9325061326573609,0.9325286055066783
antium,luca,0.9915911555290222,0.935063411096099,0.9366919694432787
cora,veii,0.9914212226867676,0.9258273703277491,0.9336479473265873
collatia,luca,0.9912457466125488,0.9318363981641782,0.9366919694432787
ardea,veii,0.9905230402946472,0.9272626346083963,0.9336479473265873
caudium,cannae,0.990374743938446,0.927986003411044,0.9313126616417222
praeneste,veii,0.9900029897689819,0.9290499793496102,0.9336479473265873
velitrae,veii,0.9899337291717529,0.9326527566666816,0.9336479473265873
privernum,veii,0.9876036047935486,0.9301606097798438,0.9336479473265873
sutrium,veii,0.9873210787773132,0.9297225547444289,0.9336479473265873
tibur,luca,0.9873009324073792,0.9308527966213834,0.9366919694432787
gabii,veii,0.9872474670410156,0.9264660872471561,0.9336479473265873
fidenae,antium,0.9871799349784851,0.9309663673874679,0.935063411096099
satricum,antium,0.9871671795845032,0.9316975056745445,0.935063411096099
aricia,luca,0.9869831204414368,0.9263516972019414,0.9366919694432787
venusia,luca,0.9869359135627747,0.9293136273979381,0.9366919694432787
tusculum,veii,0.9856721758842468,0.9262676702183523,0.9336479473265873
aquilonia,signia,0.9853736162185669,0.9264318943023682,0.9300125089420634
canusium,luca,0.984993040561676,0.9253239802494171,0.9366919694432787
genua,capua,0.9848155975341797,0.919154050243888,0.933075558228098
ostia,luca,0.9837942123413086,0.9300676367844746,0.9366919694432787
capena,veii,0.9828271865844727,0.9246850951462035,0.9336479473265873
calatia,luca,0.982823371887207,0.9311054603309389,0.9366919694432787
aecae,telesia,0.9818410277366638,0.8797624111175537,0.9035458659670156
telesia,aecae,0.9818410277366638,0.9035458659670156,0.8797624111175537
cales,antium,0.9816809296607971,0.9288596385603498,0.935063411096099
volturnum,luca,0.9816741943359375,0.9263028567004356,0.9366919694432787
suessula,tibur,0.9815662503242493,0.9196404381922096,0.9308527966213834
fregellae,velitrae,0.9808924198150635,0.924542028053551,0.9326527566666816
lanuvium,velitrae,0.9801437258720398,0.9228374202539966,0.9326527566666816
amiternum,luca,0.9797057509422302,0.9264251430323169,0.9366919694432787
petelia,casilinum,0.9796508550643921,0.9188609962250777,0.9325286055066783
fundi,signia,0.9792194962501526,0.9040432834321526,0.9300125089420634
anagnia,lanuvium,0.9789614677429199,0.9119884379350456,0.9228374202539966
larinum,ostia,0.978844165802002,0.9180657875006366,0.9300676367844746
lavinium,privernum,0.9786893725395203,0.9269019129929269,0.9301606097798438
clusium,luca,0.9785786271095276,0.9199121267932235,0.9366919694432787
nomentum,ardea,0.9773879051208496,0.9165433630062516,0.9272626346083963
compsa,luca,0.9772145748138428,0.926214262178749,0.9366919694432787
pisae,luca,0.9758379459381104,0.9199257523390898,0.9366919694432787
firmum,fundi,0.9752604961395264,0.8982963793596644,0.9040432834321526
arretium,tibur,0.9742507338523865,0.9124775289729902,0.9308527966213834
allifae,suessula,0.9732544422149658,0.911735997078525,0.9196404381922096
casinum,genua,0.9719854593276978,0.9063028510968396,0.919154050243888
setia,lanuvium,0.9704086184501648,0.9139245646015094,0.9228374202539966
liternum,velitrae,0.9696393609046936,0.9194248204777955,0.9326527566666816
formiae,praeneste,0.9691638946533203,0.9085093151991535,0.9290499793496102
eretum,tibur,0.9684610366821289,0.9107872350200726,0.9308527966213834
sulmo,amiternum,0.9680027961730957,0.886766432576878,0.9264251430323169
Cumae,grumentum,0.9656252861022949,0.8963080177641218,0.9106723275154259
grumentum,Cumae,0.9656252861022949,0.9106723275154259,0.8963080177641218
luna,signia,0.964902400970459,0.8969948105751329,0.9300125089420634
artena,satricum,0.9635639786720276,0.9046370356705538,0.9316975056745445
volsinii,veii,0.9629310965538025,0.9069569794235716,0.9336479473265873
reate,lanuvium,0.962709903717041,0.890127640620918,0.9228374202539966
sora,calatia,0.9621135592460632,0.9058173705058493,0.9311054603309389
frusino,fundi,0.9617951512336731,0.8788072975577822,0.9040432834321526
cortona,luca,0.9614974856376648,0.9062374405040863,0.9366919694432787
arpi,lavinium,0.9613209962844849,0.9029873818348927,0.9269019129929269
callifae,allifae,0.960934042930603,0.8684433972000316,0.911735997078525
pompeii,capua,0.9597460627555847,0.8933738933247366,0.933075558228098
ocriculum,larinum,0.9593368172645569,0.8982236939630691,0.9180657875006366
paestum,antium,0.9591024518013,0.8997827445625499,0.935063411096099
interamnates,casilinum,0.9583349227905273,0.9044544844870355,0.9325286055066783
saepinum,antium,0.9570791125297546,0.9018359347513527,0.935063411096099
antemnae,privernum,0.9561711549758911,0.9058868061205384,0.9301606097798438
bantia,arretium,0.9521346092224121,0.8777519908680278,0.9124775289729902
minturnae,fregenae,0.9519460797309875,0.8975993011407791,0.8516928071429015
fregenae,minturnae,0.9519460797309875,0.8516928071429015,0.8975993011407791
scylla,canusium,0.949983537197113,0.8925279466209898,0.9253239802494171
misenum,tibur,0.9496391415596008,0.8864293379388797,0.9308527966213834
pyrgi,fregenae,0.9487740993499756,0.828168237664897,0.8516928071429015
graviscae,volturnum,0.943938672542572,0.8950916737507862,0.9263028567004356
herculaneum,aquilonia,0.9437659382820129,0.8782503206259126,0.9264318943023682
trebula,Cumae,0.9431520104408264,0.870606086815998,0.8963080177641218
sentinum,allifae,0.9401575922966003,0.8787886845837732,0.911735997078525
cures,firmum,0.9320719838142395,0.8158292576765559,0.8982963793596644
spoletium,suessula,0.9309925436973572,0.8775390800397107,0.9196404381922096
amyclae,compsa,0.9298628568649292,0.8767806367509684,0.926214262178749
caiatia,compsa,0.9292286038398743,0.8708054100631908,0.926214262178749
pisaurum,fregenae,0.9267927408218384,0.8322032367347911,0.8516928071429015
arpinum,sora,0.9235281944274902,0.808438838667171,0.9058173705058493
forentum,fidenae,0.9192179441452026,0.8669016372625995,0.9309663673874679
iguvium,tusculum,0.9185179471969604,0.8601501318299847,0.9262676702183523
mevania,allifae,0.916750431060791,0.8552503027733723,0.911735997078525
ficulea,nomentum,0.9137755632400513,0.8232278956729135,0.9165433630062516
bovillae,fregellae,0.9112769365310669,0.8549236442632736,0.924542028053551
nursia,luca,0.9062891602516174,0.8520813235052073,0.9366919694432787
florentia,arretium,0.8969405293464661,0.828164361085102,0.9124775289729902
aquinum,interamnates,0.894051194190979,0.8074782240162989,0.9044544844870355
pollentia,tibur,0.8939704895019531,0.8261754554548081,0.9308527966213834
barium,casinum,0.8875407576560974,0.8099843428772726,0.9063028510968396
alsium,minturnae,0.886927604675293,0.8213667592425256,0.8975993011407791
aufidena,satricum,0.8791860938072205,0.8134283503149725,0.9316975056745445
ficana,fregellae,0.8791058659553528,0.8245068386102178,0.924542028053551
aesis,sora,0.8485202193260193,0.7925192611232684,0.9058173705058493
Teanum Sidicinum,ostia,0.8245465159416199,0.7528453590763602,0.9300676367844746
acerrae,cales,0.7287482023239136,0.6558398634764799,0.9288596385603498
atina,setia,0.6384365558624268,0.5816962269081432,0.9139245646015094
