Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
orbitanium,aecae,1.0,0.8797624111175537,0.8797624111175537
ameriola,ficulea,1.0,0.8232278956729135,0.8232278956729135
verrugo,ardea,0.9864049553871155,0.9223464989358452,0.9272626346083963
corbio,luca,0.9862396717071533,0.9281322363835232,0.9366919694432787
cominium,aquilonia,0.9853423833847046,0.9263310086954931,0.9264318943023682
nuceria,nola,0.9846872091293335,0.9190077747508978,0.9325061326573609
larissa,nola,0.9821428656578064,0.9230842404304795,0.9325061326573609
murgantia,signia,0.9802250266075134,0.9218882383054988,0.9300125089420634
ecetra,antium,0.9800869822502136,0.9232596569000535,0.935063411096099
tifata,casilinum,0.9780288338661194,0.916151741128059,0.9325286055066783
tifernum,tibur,0.9774830937385559,0.9128145685621128,0.9308527966213834
vescia,volturnum,0.9748151302337646,0.9192371516470697,0.9263028567004356
neapolis,antium,0.9696544408798218,0.9171456835072511,0.935063411096099
velia,capena,0.9693326950073242,0.9104741310617727,0.9246850951462035
longula,satricum,0.9683961868286133,0.9094560514589783,0.9316975056745445
carventum citadel,signia,0.9673669338226318,0.8979997175514318,0.9300125089420634
ausona,sora,0.9662041068077087,0.9039839859221391,0.9058173705058493
vitellia,luca,0.9655585289001465,0.9101110362702873,0.9366919694432787
milionia,praeneste,0.9648812413215637,0.9030874170315494,0.9290499793496102
corioli,capena,0.9646531939506531,0.9079472566865812,0.9246850951462035
clampetia,tibur,0.9627099633216858,0.9077484345739815,0.9308527966213834
empulum,tibur,0.954492449760437,0.8796016198055,0.9308527966213834
apiolae,collatia,0.9495654702186584,0.8917443414402616,0.9318363981641782
bergae,ocriculum,0.949499249458313,0.8827649415678279,0.8982236939630691
besidiae,ocriculum,0.949499249458313,0.8827649415678279,0.8982236939630691
argentanum,ocriculum,0.949499249458313,0.8827649415678279,0.8982236939630691
lymphaeum,ocriculum,0.949499249458313,0.8827649415678279,0.8982236939630691
carventum,nomentum,0.9494060277938843,0.8828177250874271,0.9165433630062516
austicula,trebula,0.9391571879386902,0.8684814287598726,0.870606086815998
feritrum,veii,0.9389019012451172,0.8770792150193718,0.9336479473265873
laurentum,veii,0.9370355010032654,0.8797240299024399,0.9336479473265873
contenebra,privernum,0.9367983341217041,0.8769718556647088,0.9301606097798438
plestina,satricum,0.9351358413696289,0.8789345603080312,0.9316975056745445
fresilia,satricum,0.9351358413696289,0.8789345603080312,0.9316975056745445
acuca,Cumae,0.9344260096549988,0.8748060772373418,0.8963080177641218
cutina,nola,0.9332687258720398,0.8786269160592632,0.9325061326573609
palumbinum,veii,0.9311239719390869,0.8813827026421857,0.9336479473265873
Solonium,ostia,0.9296774864196777,0.8733792156930182,0.9300676367844746
romulea,veii,0.9220397472381592,0.8642311293608064,0.9336479473265873
sicilinum,fidenae,0.9219532608985901,0.8596218752253587,0.9309663673874679
vercellium,fidenae,0.9219532608985901,0.8596218752253587,0.9309663673874679
taurania,clusium,0.9165295958518982,0.8612480292654341,0.9199121267932235
cortuosa,lavinium,0.9095989465713501,0.8601643014106022,0.9269019129929269
carystum,compsa,0.9006866812705994,0.8538780470562589,0.926214262178749
litubium,minturnae,0.8960219025611877,0.8357704596914304,0.8975993011407791
cimetra,bantia,0.8922818899154663,0.7892392642179112,0.8777519908680278
duronia,satricum,0.8835381269454956,0.824054500479607,0.9316975056745445
bolani,velitrae,0.882876455783844,0.8264228652237328,0.9326527566666816
trifanum,bovillae,0.8625710606575012,0.7928030870522663,0.8549236442632736
cameria,spoletium,0.8110902309417725,0.730866244264469,0.8775390800397107
