Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
aesis,pisaurum,1.0,0.8287213624400251,0.8287213624400251
Dertona,Libarna,1.0,0.8081634425941635,0.8081634425941635
Libarna,Dertona,1.0,0.8081634425941635,0.8081634425941635
graviscae,pyrgi,1.0,0.7775949827011894,0.7775949827011894
Numana,Cluana,1.0,0.7867476747316473,0.7867476747316473
formiae,Caieta,1.0,0.8206772155621472,0.8206772155621472
Hispellum,aesis,1.0,0.8287213624400251,0.8287213624400251
pisaurum,aesis,1.0,0.8287213624400251,0.8287213624400251
pyrgi,graviscae,1.0,0.7775949827011894,0.7775949827011894
Tuder,aesis,1.0,0.8287213624400251,0.8287213624400251
Caieta,formiae,1.0,0.8206772155621472,0.8206772155621472
Cluana,Numana,1.0,0.7867476747316473,0.7867476747316473
Tuficum,Sestinum,0.9898104667663574,0.7617065054090584,0.7652223061989335
Sestinum,Tuficum,0.9898104667663574,0.7652223061989335,0.7617065054090584
nursia,interamnates,0.9848363995552063,0.7874292577890789,0.8077161947593969
interamnates,nursia,0.9848363995552063,0.8077161947593969,0.7874292577890789
Vico,luca,0.9815365076065063,0.8502548560500145,0.8588779459104818
luca,Vico,0.9815365076065063,0.8588779459104818,0.8502548560500145
signia,luca,0.9750203490257263,0.8316260181805667,0.8588779459104818
arpi,venusia,0.973660945892334,0.8247352268765954,0.8487789731691865
venusia,arpi,0.973660945892334,0.8487789731691865,0.8247352268765954
amyclae,formiae,0.9736533761024475,0.8247044125900549,0.8206772155621472
capua,Vico,0.973162055015564,0.8474762040902587,0.8502548560500145
ostia,capua,0.9714337587356567,0.852388921467697,0.8474762040902587
Varia,Vico,0.9713354110717773,0.8277936441933408,0.8502548560500145
luna,Varia,0.9712178111076355,0.8153289525824434,0.8277936441933408
pollentia,Dertona,0.9695267677307129,0.8129947352058747,0.8081634425941635
genua,Vico,0.9675354361534119,0.82642462060732,0.8502548560500145
fundi,signia,0.9662597179412842,0.8061751000144902,0.8316260181805667
larinum,Cliternia,0.9634062647819519,0.805634530589861,0.8089766909970957
Cliternia,larinum,0.9634062647819519,0.8089766909970957,0.805634530589861
