Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Cingulani,Auximum,1.0,0.7608319157186676,0.7608319157186676
Solonates,Fidentia,1.0,0.7866295663749471,0.7866295663749471
Padinates,Fidentia,1.0,0.7866295663749471,0.7866295663749471
Novana,Asculum,1.0,0.7804572744404569,0.7804572744404569
Mateolani,Ginosa,1.0,0.7273342289468822,0.7273342289468822
velia,paestum,1.0,0.7684726176016471,0.7684726176016471
Forentani,Ginosa,1.0,0.7273342289468822,0.7273342289468822
Clusiolum,interamnates,0.983850359916687,0.8029661428402451,0.8077161947593969
Hortenses,fidenae,0.9757329225540161,0.7917038701912936,0.8262006250374457
Senum,Vico,0.969272792339325,0.8433295054470792,0.8502548560500145
neapolis,ostia,0.9662647247314453,0.8595111304346252,0.852388921467697
bolani,fidenae,0.9565639495849609,0.779339718468049,0.8262006250374457
Latinienses,fidenae,0.9563069939613342,0.7733593859216746,0.8262006250374457
Cusuetani,fidenae,0.9552732706069946,0.7773405593984267,0.8262006250374457
Bubetani,fidenae,0.9526185393333435,0.7766550722367623,0.8262006250374457
Abolani,fidenae,0.9523380994796753,0.7760532467680819,0.8262006250374457
Macrales,fidenae,0.9501997232437134,0.7677093450637424,0.8262006250374457
corioli,fidenae,0.9490238428115845,0.7690440766951617,0.8262006250374457
Munienses,fidenae,0.945392906665802,0.7586950269692084,0.8262006250374457
Olliculani,fidenae,0.9355250000953674,0.744721682413536,0.8262006250374457
Sisolenses,Ginosa,0.9316120743751526,0.7368628018919159,0.7273342289468822
Manates,fidenae,0.9314212799072266,0.7545088711468613,0.8262006250374457
Octulani,fidenae,0.9298286437988281,0.7382597171646708,0.8262006250374457
nuceria,praeneste,0.9296059012413025,0.8093337066033307,0.8340967534219518
Herbanum,Tuficum,0.9247760772705078,0.7706843404208913,0.7617065054090584
Sicani,fidenae,0.9232475757598877,0.7410512106383548,0.8262006250374457
Ficolenses,Fidentia,0.9188086986541748,0.7663182191112462,0.7866295663749471
larissa,Varia,0.9124556183815002,0.7963868103483144,0.8277936441933408
laurentum,ardea,0.9087759256362915,0.7653368619434974,0.8247590187717887
Tutienses,fidenae,0.9069052338600159,0.7169684092788136,0.8262006250374457
Velienses,fidenae,0.906000018119812,0.8008022299584221,0.8262006250374457
Viticini,antium,0.8998507857322693,0.7730822896256166,0.827683171366944
carystum,canusium,0.8987652659416199,0.7819990726078258,0.8585764060125631
Venetulani,Auximum,0.897596001625061,0.6749273192356614,0.7608319157186676
Apina,amyclae,0.8853979110717773,0.7761740145437858,0.8247044125900549
palumbinum,Treba,0.8849314451217651,0.7353727760560372,0.7552520242684028
Anxanum,Corfinium,0.8833740949630737,0.7274195753476199,0.7089376322486821
Alfaterni,Cliternia,0.8785021901130676,0.7723852869342355,0.8089766909970957
Tadiates,Cliternia,0.8785021901130676,0.7723852869342355,0.8089766909970957
Carentini,Cliternia,0.860977292060852,0.7779193586286377,0.8089766909970957
Abala,amyclae,0.8398465514183044,0.7620610879624591,0.8247044125900549
sabata,canusium,0.8314241170883179,0.7441976780400557,0.8585764060125631
taurania,ostia,0.8277087807655334,0.6911230957245126,0.852388921467697
Casuentum,ostia,0.8150475025177002,0.7156986458336606,0.852388921467697
Carissanum,antium,0.7391343116760254,0.5860988447333083,0.827683171366944
